MDC3349331.1	QIZ21456.1	86.957	69	9	0	1	69	1	69	1.32e-34	115
MDC3349332.1	QIZ21455.1	93.571	140	9	0	1	140	1	140	2.96e-97	272
MDC3349333.1	QIZ21454.1	90.909	418	38	0	15	432	16	433	0.0	725
MDC3349334.1	QIZ21453.1	90.187	214	21	0	1	214	1	214	1.42e-115	324
MDC3349335.1	QIZ21452.1	97.300	889	24	0	1	889	1	889	0.0	1783
MDC3349336.1	QIZ21451.1	77.041	196	44	1	1	195	1	196	2.21e-99	281
MDC3349337.1	QIZ21450.1	90.265	113	11	0	1	113	1	113	1.25e-74	212
MDC3349338.1	QIZ21449.1	87.879	396	48	0	1	396	1	396	0.0	734
MDC3349342.1	QIZ20485.1	31.237	493	307	6	6	482	9	485	1.58e-84	265
MDC3349343.1	QIZ21448.1	94.561	478	26	0	1	478	1	478	0.0	919
MDC3349344.1	QIZ21447.1	95.597	318	14	0	1	318	1	318	0.0	636
MDC3349345.1	QIZ21446.1	90.351	228	22	0	18	245	18	245	4.93e-152	419
MDC3349346.1	QIZ21445.1	93.458	214	14	0	1	214	1	214	7.62e-148	405
MDC3349347.1	QIZ21444.1	93.378	740	49	0	1	740	1	740	0.0	1425
MDC3349348.1	QIZ21443.1	96.479	284	10	0	1	284	1	284	0.0	555
MDC3349349.1	QIZ21442.1	84.578	415	64	0	1	415	1	415	0.0	724
MDC3349350.1	QIZ21441.1	95.568	361	16	0	13	373	13	373	0.0	711
MDC3349351.1	QIZ21440.1	97.238	362	10	0	1	362	1	362	0.0	728
MDC3349352.1	QIZ21439.1	81.186	388	73	0	1	388	1	388	0.0	677
MDC3349353.1	QIZ21438.1	84.082	245	39	0	1	245	1	245	5.78e-156	429
MDC3349354.1	QIZ21437.1	94.845	388	20	0	1	388	1	388	0.0	782
MDC3349355.1	QIZ21436.1	94.872	195	10	0	1	195	1	195	1.39e-138	380
MDC3349356.1	QIZ21435.1	78.378	259	56	0	1	259	1	259	5.87e-155	427
MDC3349357.1	QIZ21434.1	92.089	493	39	0	1	493	1	493	0.0	944
MDC3349358.1	QIZ21433.1	51.579	285	138	0	1	285	1	285	2.48e-101	293
MDC3349359.1	QIZ21432.1	94.458	397	19	1	1	394	1	397	0.0	726
MDC3349360.1	QIZ21431.1	85.771	253	36	0	1	253	1	253	6.08e-149	412
MDC3349361.1	QIZ21430.1	93.023	387	27	0	1	387	1	387	0.0	696
MDC3349362.1	QIZ21429.1	94.808	443	23	0	14	456	1	443	0.0	821
MDC3349363.1	QIZ21428.1	95.833	336	14	0	1	336	1	336	0.0	638
MDC3349364.1	QIZ21427.1	95.745	235	10	0	1	235	1	235	5.34e-159	436
MDC3349365.1	QIZ21426.1	94.318	264	15	0	1	264	1	264	0.0	503
MDC3349367.1	QIZ21425.1	86.799	303	40	0	1	303	1	303	0.0	539
MDC3349368.1	QIZ21424.1	89.623	106	11	0	1	106	1	106	4.21e-65	188
MDC3349369.1	QIZ21423.1	96.581	234	8	0	1	234	1	234	3.33e-169	461
MDC3349370.1	QIZ21422.1	95.019	261	13	0	1	261	1	261	0.0	506
MDC3349371.1	QIZ21421.1	96.748	246	8	0	1	246	1	246	8.88e-177	481
MDC3349372.1	QIZ21420.1	94.571	350	19	0	1	350	1	350	0.0	664
MDC3349373.1	QIZ21419.1	95.960	297	12	0	1	297	1	297	0.0	580
MDC3349374.1	QIZ21418.1	95.157	413	20	0	1	413	1	413	0.0	814
MDC3349375.1	QIZ21417.1	95.588	204	9	0	1	204	1	204	1.56e-123	343
MDC3349376.1	QIZ21416.1	97.959	98	2	0	1	98	1	98	1.08e-67	194
MDC3349377.1	QIZ21415.1	86.905	84	11	0	1	84	1	84	4.80e-53	155
MDC3349378.1	QIZ21414.1	96.748	123	4	0	1	123	1	123	2.48e-89	250
MDC3349379.1	QIZ21412.1	94.620	316	17	0	1	316	1	316	0.0	622
MDC3349380.1	QIZ21411.1	94.314	299	17	0	1	299	1	299	0.0	561
MDC3349381.1	QIZ21410.1	96.117	412	16	0	1	412	1	412	0.0	823
MDC3349382.1	QIZ21409.1	93.298	373	25	0	1	373	1	373	0.0	644
MDC3349383.1	QIZ21408.1	84.733	655	99	1	1	655	1	654	0.0	1148
MDC3349384.1	QIZ21407.1	67.089	158	52	0	14	171	15	172	1.28e-64	192
MDC3349385.1	QIZ21406.1	54.739	422	170	8	1	412	1	411	2.25e-144	413
MDC3349386.1	QIZ21405.1	97.391	345	9	0	1	345	1	345	0.0	677
MDC3349387.1	QIZ21404.1	94.423	520	29	0	1	520	1	520	0.0	1021
MDC3349388.1	QIZ21403.1	97.640	339	8	0	1	339	1	339	0.0	681
MDC3349389.1	QIZ21402.1	92.308	182	14	0	1	182	1	182	4.07e-122	338
MDC3349390.1	QIZ21401.1	92.177	588	46	0	1	588	1	588	0.0	1097
MDC3349391.1	QIZ21400.1	87.460	311	39	0	1	311	1	311	3.66e-177	488
MDC3349392.1	QIZ21399.1	90.234	471	45	1	1	470	1	471	0.0	840
MDC3349393.1	QIZ21398.1	95.082	61	3	0	1	61	1	61	2.17e-37	114
MDC3349394.1	QIZ21397.1	90.972	288	26	0	1	288	1	288	0.0	515
MDC3349395.1	QIZ21396.1	91.257	366	32	0	1	366	1	366	0.0	640
MDC3349396.1	QIZ21395.1	98.540	274	4	0	18	291	1	274	0.0	546
MDC3349397.1	QIZ21388.1	93.016	315	22	0	1	315	1	315	0.0	616
MDC3349399.1	QIZ21387.1	97.186	462	13	0	1	462	1	462	0.0	922
MDC3349400.1	QIZ21386.1	77.226	483	110	0	1	483	1	483	0.0	703
MDC3349401.1	QIZ21385.1	97.198	678	19	0	1	678	1	678	0.0	1349
MDC3349402.1	QIZ21384.1	91.312	564	49	0	1	564	1	564	0.0	1031
MDC3349403.1	QIZ21383.1	93.630	675	43	0	1	675	1	675	0.0	1277
MDC3349404.1	QIZ21382.1	95.472	265	12	0	18	282	18	282	0.0	508
MDC3349405.1	QIZ21381.1	95.098	306	15	0	1	306	1	306	0.0	569
MDC3349406.1	QIZ21380.1	91.328	369	32	0	1	369	1	369	0.0	667
MDC3349407.1	QIZ21379.1	87.111	225	29	0	1	225	1	225	1.46e-126	353
MDC3349408.1	QIZ21378.1	93.750	304	19	0	1	304	1	304	0.0	543
MDC3349409.1	QIZ21377.1	95.833	312	13	0	1	312	1	312	0.0	556
MDC3349410.1	QIZ21376.1	97.198	464	13	0	1	464	1	464	0.0	912
MDC3349411.1	QIZ21375.1	90.449	356	34	0	1	356	1	356	0.0	641
MDC3349412.1	QIZ21374.1	93.583	374	24	0	1	374	1	374	0.0	634
MDC3349413.1	QIZ21373.1	88.631	431	49	0	1	431	1	431	0.0	725
MDC3349415.1	QIZ21372.1	89.451	948	100	0	1	948	1	948	0.0	1633
MDC3349416.1	QIZ21371.1	92.679	560	41	0	1	560	1	560	0.0	1037
MDC3349417.1	QIZ21370.1	85.294	102	15	0	1	102	1	102	2.53e-56	165
MDC3349418.1	QIZ21369.1	95.833	336	14	0	1	336	1	336	0.0	648
MDC3349419.1	QIZ21368.1	95.354	495	23	0	1	495	1	495	0.0	890
MDC3349420.1	QIZ21367.1	99.355	155	1	0	1	155	1	155	3.67e-115	318
MDC3349421.1	QIZ21366.1	82.591	247	43	0	1	247	1	247	5.43e-152	419
MDC3349422.1	QIZ21365.1	88.889	261	29	0	1	261	1	261	1.96e-179	489
MDC3349423.1	QIZ21364.1	93.401	197	13	0	1	197	1	197	2.05e-132	365
MDC3349424.1	QIZ21363.1	99.012	607	6	0	1	607	1	607	0.0	1219
MDC3349425.1	QIZ21362.1	98.139	591	11	0	1	591	1	591	0.0	1181
MDC3349426.1	QIZ21361.1	98.039	153	3	0	1	153	1	153	7.09e-106	295
MDC3349427.1	QIZ21360.1	96.734	398	13	0	1	398	1	398	0.0	787
MDC3349428.1	QIZ21359.1	97.579	1074	26	0	1	1074	1	1074	0.0	2150
MDC3349430.1	QIZ21358.1	93.143	350	24	0	1	350	1	350	0.0	659
MDC3349431.1	QIZ21319.1	89.498	219	23	0	1	219	1	219	1.69e-151	415
